name	tissue	sample	total_reads	entropy_CDR3_total	entropy_CDR3_1000	entropy_VJ_total	entropy_VJ_1000	entropy_V_total	entropy_V_1000	entropy_J_total	entropy_J_1000
TCR40	blood	NKT	2443	3.8538	3.8048	3.3049	3.2891	2.7964	2.7857	1.7128	1.7068
TCR41	blood	CD8	93641	10.5489	8.5696	6.7535	6.7399	3.8548	3.8442	3.1088	3.1074
TCR42	blood	Treg	9648	8.4257	8.0291	7.2176	7.1954	4.4159	4.4112	3.3478	3.3476
TCR43	blood	CD4	52995	10.0085	8.3961	7.2516	7.2468	4.3976	4.3945	3.2094	3.2086
TCR7	blood	LGG-blood	40740	13.095	9.045	7.3934	7.3561	4.3279	4.2992	3.2157	3.2125
TCR6	blood	LGG-brain	8083	10.5447	9.3846	7.3752	6.6137	4.3736	3.7949	3.1955	3.1488
SIMS0101-CD4-CD8	brain	NKT	3970	10.3326	8.3778	7.6524	6.7516	4.8851	4.5556	3.3451	3.1222
SIMS0101-CD8+CD56+	brain	CD8	44	2.0377		2.029		1.9766		1.7808	
SIMS0101-CD4+CD25+	brain	Treg	760	8.7326		7.46		4.8422		3.3702	
SIMS0101-PBMC	brain	LGG-blood	135635	14.8573	6.2392	8.0069	5.2451	4.9365	3.8449	3.4041	2.9767
SIMS0101-TUMOR	brain	LGG-brain	791	8.0203		7.1139		4.7773		3.345	
