name	tissue	sample	TRAJ10	TRAJ11	TRAJ12	TRAJ13	TRAJ14	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ20	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ25	TRAJ26	TRAJ27	TRAJ28	TRAJ29	TRAJ3	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ35	TRAJ36	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ46	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ54	TRAJ56	TRAJ57	TRAJ58	TRAJ6	TRAJ61	TRAJ7	TRAJ8	TRAJ9	
TCR8	blood	blood	0.01499	0.016747	0.0070504	2.705e-06	0	0.014432	0.0059313	0.011603	0.0041877	0.035559	0.02224	0.043859	0.012617	0.003614	3.2459e-05	0.024314	0.023267	0.0097732	0.016549	0.020633	0.032489	0.030304	0.01769	0.022283	0.051242	0.030921	0.011296	0.027687	0	0.038414	0.0095468	0.025055	0.012795	0.059163	0.027719	0.010189	0.020696	0.00060133	0.0098286	0.031536	0.046579	0.018388	0.0038329	0.023254	0.028063	0.018335	0.0080447	0.0096633	0.022434	0.019223	4.432e-05	0.0074909	0.012682	0.025107	
TCR26	blood	blood+brain	0.017562	0.045404	0.009386	3.7487e-06	0.00025006	0.014305	0.0063968	0.013682	0.0067066	0.071728	0.010014	0.024022	0.0134	0.0082001	1.72e-05	0.011693	0.01405	0.0067884	0.023661	0.014402	0.021955	0.030153	0.015983	0.027475	0.051537	0.015426	0.012525	0.040811	0	0.030076	0.011288	0.025729	0.012205	0.035471	0.032113	0.015696	0.015671	0.0016787	0.010108	0.024353	0.041621	0.014501	0.0026807	0.032709	0.031688	0.026502	0.0041778	0.013395	0.016994	0.031134	0	0.0078382	0.012797	0.022036	
TCR14	blood	GBM1	0.022538	0.011786	0.003803	0.006987	3e-05	0.005943	0.0077165	0.010384	0.003232	0.024404	0.013074	0.014296	0.01012	0.00511	1.85e-05	0.012511	0.01724	0.009318	0.10445	0.01089	0.026649	0.02682	0.016747	0.049931	0.033137	0.0049495	0.016744	0.03564	8.1e-05	0.032182	0.050708	0.028712	0.00953	0.030333	0.027608	0.011169	0.015201	0.0001195	0.0090005	0.039272	0.072934	0.011138	0.004739	0.020164	0.022854	0.014679	0.006164	0.0099105	0.018851	0.012521	9e-06	0.008482	0.012276	0.026898	
TCR12	blood	GBM2	0.016361	0.015055	0.0015463	2.818e-06	0	0.0064001	0.005913	0.01081	0.0025974	0.022766	0.011961	0.020013	0.004409	0.0013063	0	0.0074423	0.019521	0.00031521	0.013341	0.015717	0.02738	0.43381	0.009708	0.0033095	0.031371	0.010383	0.0119	0.021339	0	0.020301	0.0070925	0.0022105	0.0043236	0.021978	0.049124	0.0079105	0.028493	0	0.0035507	0.010495	0.0083855	0.014388	0.0021276	0.018762	0.015799	0.0016405	0.0065941	0.0020004	0.017383	0.0080506	0	0.0013788	0.011209	0.012122	
TCR6	blood	LGG1	0.015538	0.009565	0.0066139	0.0020367	0	0.01002	0.0056764	0.0080125	0.0086024	0.035033	0.0095783	0.012019	0.011779	0.006435	4.4736e-05	0.013461	0.018734	0.0099817	0.037028	0.013265	0.020816	0.023965	0.015237	0.023374	0.1185	0.0076594	0.011548	0.024842	6.6712e-06	0.028932	0.0094571	0.026768	0.010418	0.034997	0.02777	0.016998	0.017712	0.00066908	0.0079015	0.024794	0.036144	0.013456	0.0055599	0.025629	0.13478	0.014186	0.0073093	0.0073972	0.019353	0.018523	0.0001087	0.0062549	0.0086957	0.016814	
TCR22	blood	LGG2	0.02015	0.1345	0.00077494	6.5473e-06	0	0.024047	0.0074465	0.017132	0.0004805	0.039145	0.011197	0.0097151	0.0041468	0.00041994	0	0.034281	0.0034319	0.0019273	0.0080732	0.016554	0.0020042	0.054529	0.0034984	0.0015826	0.047818	0.0022023	0.008504	0.12127	3.8193e-06	0.015009	0.023472	0.010439	0.0093212	0.091292	0.03996	0.017149	0.01662	0	0.033559	0.018964	0.0046291	0.0087259	0.00042885	0.012502	0.03207	0.010307	0.0084475	0.0028348	0.0078857	0.01288	0	0.00037429	0.013234	0.035049	
TCR24	blood	LGG3	9.3598e-06	1.56e-05	1.56e-06	0	0	1.1856e-05	4.3679e-06	2.5583e-05	2.3087e-05	7.7374e-05	2.0903e-05	2.3399e-05	1.872e-05	6.2398e-07	0	3.8063e-05	5.3039e-05	1.6224e-05	1.6536e-05	0.81786	4.9919e-05	1.1544e-05	9.9837e-06	2.4335e-05	5.2415e-05	3.7439e-06	1.872e-06	0.011032	0	2.2775e-05	6.8638e-06	1.8408e-05	2.8079e-06	4.4303e-05	0.1702	9.3598e-06	4.0247e-05	0	1.0296e-05	1.4664e-05	3.6503e-05	2.1839e-06	6.2398e-07	1.8408e-05	1.2168e-05	1.9032e-05	1.4976e-05	1.1232e-05	6.8638e-06	3.2135e-05	0	4.0559e-06	1.2792e-05	6.4582e-05	
TCR28	blood	LGG4	0.016103	0.015912	0.0063994	0.0092226	1.964e-05	0.012055	0.0089461	0.012401	0.016263	0.03527	0.017152	0.018845	0.014142	0.0056746	2.8192e-06	0.015487	0.014306	0.0084543	0.019895	0.013889	0.023884	0.026729	0.016854	0.019292	0.042274	0.011003	0.014759	0.043719	8.9274e-06	0.024064	0.0087596	0.025546	0.012675	0.04114	0.050521	0.01669	0.020793	0.00010149	0.013174	0.026587	0.040091	0.026182	0.0045577	0.026055	0.062052	0.032423	0.0080571	0.014936	0.022919	0.02584	1.9828e-05	0.0065577	0.011002	0.020296	
TCR27	brain	blood+brain	0.0076253	0.025503	0.0054422	1.4051e-05	6.3868e-07	0.0026311	0.0033735	0.0069952	0.0046177	0.013563	0.012056	0.038632	0.023131	0.0094841	0	0.0080142	0.0029645	0.0075569	0.0095282	0.0059883	0.0099299	0.0038905	0.012039	0.0053327	0.010009	0.0086149	0.003934	0.027998	0	0.019244	0.010832	0.010789	0.0052235	0.0211	0.028399	0.0090013	0.0029791	7.0255e-06	0.0068799	0.019869	0.044231	0.061706	4.0876e-05	0.013817	0.03535	0.0036258	0.0028246	0.0068745	0.0070409	0.063982	0	0.0046522	0.010001	0.34266	
TCR15	brain	GBM1	0.014379	0.011689	0.0095128	0.032281	0	0.0051922	0.0027602	0.019636	0.0020069	0.050851	0.010454	0.010944	0.024387	0.0024186	0	0.016053	0.014743	0.012375	0.094318	0.012144	0.025568	0.025878	0.0072422	0.017153	0.013583	0.0036588	0.009607	0.036442	0	0.035121	0.049974	0.025813	0.007296	0.014657	0.022431	0.022746	0.067052	0	0.011759	0.015571	0.01619	0.025275	0.0072072	0.050671	0.013341	0.011003	0.001937	0.0097549	0.012859	0.057284	2.1522e-05	0.01121	0.011767	0.013777	
