name	tissue	sample	TRAV10	TRAV1-1	TRAV1-2	TRAV12-1	TRAV12-2	TRAV12-3	TRAV13-1	TRAV13-2	TRAV14DV4	TRAV16	TRAV17	TRAV18	TRAV19	TRAV2	TRAV20	TRAV21	TRAV22	TRAV23DV6	TRAV24	TRAV25	TRAV26-1	TRAV26-2	TRAV27	TRAV28	TRAV29DV5	TRAV3	TRAV30	TRAV34	TRAV35	TRAV36DV7	TRAV38-1	TRAV38-2DV8	TRAV39	TRAV4	TRAV40	TRAV41	TRAV5	TRAV6	TRAV7	TRAV8-1	TRAV8-2	TRAV8-3	TRAV8-4	TRAV8-5	TRAV8-6	TRAV8-7	TRAV9-1	TRAV9-2	
TCR8	blood	blood	0.047388	0.0020377	0.0047955	0.013722	0.028622	0.0015913	0.024891	0.0030006	0.030268	0.0014118	0.030254	2.809e-05	0.042507	0.0811	0.056215	0.0031604	0.0011939	0.00061215	0.00048107	0.091179	0.10434	0.0037967	0.0010859	0	0.0012836	0.01145	0.0053267	0.0034126	0.0012528	0.046121	0.0045425	0.010947	0.0031026	0.14099	0.00011111	0.1642	0.011715	0.0036802	0	0.0058641	0.0016178	0.0049975	0.0028213	0.00010029	0.0012226	6.4503e-06	4.1615e-07	0.0015512	
TCR26	blood	blood+brain	0.056474	0.0010704	0.0051679	0.01182	0.010635	0.00064455	0.024518	0.0026631	0.01526	0.0014549	0.032256	0	0.012663	0.14568	0.11104	0.0013559	0.00054356	0.00017773	0.00018898	0.15676	0.058186	0.020742	0.0013877	0	0.00095459	0.0055842	0.0072612	0.0058285	0.0014611	0.04228	0.0047381	0.010229	0.0053727	0.078983	6.5491e-05	0.12797	0.021679	0.0021028	0	0.007801	0.0010558	0.0021522	0.0017273	1.3231e-05	0.00071225	1.1025e-05	1.0805e-05	0.00131	
TCR14	blood	GBM1	0.089099	0.007367	0.033716	0.017783	0.016801	0.0014985	0.026153	0.0048725	0.099783	0.001266	0.035374	0	0.027753	0.085143	0.074169	0.0053135	0.000431	0.001284	0.0005515	0.07953	0.038597	0.013603	0.0018855	0	0.001257	0.019414	0.010952	0.0031905	0.0008625	0.074678	0.0070955	0.0099525	0.003168	0.052283	0.0001155	0.1129	0.022537	0.002675	0	0.0064065	0.001142	0.002921	0.0037455	1.1e-05	0.001114	2e-06	0	0.001602	
TCR12	blood	GBM2	0.029401	0.00022665	0.0016912	0.014935	0.033954	0.0015108	0.014792	0.00065176	0.020796	0.0027049	0.012939	0	0.023804	0.081794	0.020089	0.0015491	0.0006115	0.00044202	0.0009549	0.04063	0.023608	0.012962	0.00086472	0	0.0021815	0.005268	0.0067789	0.0044275	0.0010886	0.020371	0.006541	0.0028784	0	0.50307	0	0.07747	0.01626	0.0012572	0	0.0014255	0.0011252	0.0047077	0.0012979	4.8308e-06	0.00078179	0	0	0.0021501	
TCR6	blood	LGG1	0.14652	0.0022486	0.0080059	0.013571	0.013826	0.0012106	0.016916	0.002588	0.033045	0.00089277	0.028222	3.8065e-05	0.02209	0.073702	0.066334	0.0029934	0.00028176	0.00059178	0.00035985	0.10318	0.051569	0.015414	0.0017592	0	0.00078446	0.0084913	0.010311	0.0091863	0.001505	0.044869	0.0029887	0.0055795	0.0023722	0.091226	5.2193e-05	0.18639	0.017211	0.0022058	5.494e-06	0.0046432	0.00069969	0.0028392	0.0022223	1.3735e-05	0.00041205	2.3546e-06	1.1773e-06	0.00063416	
TCR22	blood	LGG2	0.033213	0.0059719	0.0049579	0.0075339	0.017469	0.001392	0.031881	0.0040944	0.01208	0.00022606	0.062003	0	0.12162	0.086166	0.045283	0.0051358	0.0010656	0.00012767	0.0010658	0.072363	0.087054	0.017155	0.0021237	0	0.0017981	0.015595	0.030149	0.022524	0.00054943	0.037426	0.0046637	0.016148	0.0026413	0.17825	3.5283e-05	0.020343	0.024723	0.0025958	0	0.0072822	0.0027766	0.0061354	0.0032993	0.00011621	0.0017903	9.0935e-06	0	0.0011654	
TCR24	blood	LGG3	5.0855e-05	0	6.2398e-07	3.1199e-06	1.248e-05	1.872e-06	1.716e-05	2.8079e-06	4.3679e-06	0	4.6175e-05	0	3.3071e-05	8.4238e-05	9.547e-05	1.8096e-05	0	6.2398e-07	6.2398e-07	7.4566e-05	0.81789	8.2054e-05	4.9919e-06	0	0	1.4664e-05	1.6536e-05	5.8655e-05	1.248e-06	5.6471e-05	0	1.248e-06	0	0.00024928	0	0.17015	1.7472e-05	5.3039e-06	0	0.011002	1.248e-06	1.872e-06	6.2398e-07	0	0	0	0	6.2398e-07	
TCR28	blood	LGG4	0.046164	0.0020606	0.0038644	0.014819	0.01498	0.0023467	0.037274	0.0042035	0.014546	0.0012989	0.035502	0	0.028924	0.084054	0.081995	0.0039974	0.00055444	0.00059804	0.00073139	0.11455	0.11624	0.026179	0.0010221	0	0.0013804	0.014031	0.00833	0.0063605	0.0017977	0.048696	0.0051977	0.0081832	0.0037554	0.071277	9.7826e-05	0.15997	0.013935	0.0028179	0	0.0075847	0.0012968	0.0033941	0.0029993	5.2343e-05	0.0011119	7.7997e-06	1.2216e-06	0.0018102	
TCR27	brain	blood+brain	0.058441	0.0038158	0.0043884	0.048361	0.015761	0.001453	0.030283	0.0011959	0.020511	0.0007	0.033494	0	0.01742	0.3772	0.019032	0.0073519	0.00075684	0.00075109	0.00050105	0.13229	0.01895	0.006087	0.0039426	0	0.0012336	0.0065056	0.0022303	0.010292	0.0029427	0.015423	0.0035045	0.0062502	1.6286e-05	0.059066	0	0.060649	0.0092999	0.0085494	0	0.0028345	0.00049658	0.003712	0.0020952	0.00019416	0.00093791	7.3449e-06	0	0.0010749	
TCR15	brain	GBM1	0.023193	0.0005811	0.0017056	0.018321	0.020024	0.0030723	0.077386	0.003804	0.090218	0.0012429	0.083022	0	0.017559	0.074927	0.063716	0.0058029	0.00026365	0.0016814	0.00051653	0.074838	0.12421	0.012437	0.0043905	0	0.002241	0.015504	0.038113	0.016257	0.001068	0.066713	0.0043582	0.0056576	0.0018079	0.034548	0.00014258	0.063087	0.020578	0.012951	0	0.0029432	0.0040569	0.0019262	0.0032364	4.8425e-05	0.0011514	0	0	0.00069678	
