name	tissue	sample	TRBJ1-1	TRBJ1-2	TRBJ1-3	TRBJ1-4	TRBJ1-5	TRBJ1-6	TRBJ2-1	TRBJ2-2	TRBJ2-3	TRBJ2-4	TRBJ2-5	TRBJ2-6	TRBJ2-7	
TCR9	blood	blood	0.20962	0.12092	0.0153	0.012144	0.11414	0.0073434	0.14434	0.01654	0.19074	0.0026495	0.034688	0.0015672	0.13	
TCR27	blood	blood+brain	0.10006	0.095407	0.026899	0.0029772	0.14172	0.012987	0.20454	0.014548	0.14378	0.0075315	0.05367	0.031655	0.16422	
TCR15	blood	GBM1	0.17647	0.053484	0.022168	0.026397	0.099861	0.011104	0.15842	0.14516	0.089982	0.0050025	0.064002	0.0058201	0.14213	
TCR13	blood	GBM2	0.19484	0.10699	0.092606	0.008042	0.076368	0.0065265	0.057563	0.03655	0.11841	0.041032	0.1295	0.011286	0.12029	
TCR7	blood	LGG1	0.18986	0.068724	0.023056	0.011242	0.11954	0.031529	0.15361	0.051469	0.14652	0.0052518	0.094924	0.0044349	0.099833	
TCR23	blood	LGG2	0.15584	0.16242	0.020603	0.019589	0.073828	0.011899	0.15119	0.025034	0.20422	0.0076086	0.10958	0.0013513	0.056839	
TCR25	blood	LGG3	0.17489	0.10571	0.021373	0.024028	0.10078	0.030418	0.12315	0.037014	0.1326	0.012147	0.06658	0.012793	0.15851	
TCR29	blood	LGG4	0.17618	0.10093	0.0143	0.0075441	0.14061	0.031438	0.24227	0.0092358	0.13343	0.0070014	0.078444	0.00424	0.054377	
TCR26	brain	blood+brain	0.07008	0.11665	0.013141	0.010332	0.17121	0.013011	0.23659	0.13445	0.061892	0.0046898	0.078687	0.0024122	0.086858	
TCR14	brain	GBM1	0.30494	0.21907	0.0067856	0.0031532	0.057166	0.0096798	0.13007	0.02397	0.039937	0.0046101	0.043537	0.003859	0.15323	
TCR12	brain	GBM2	0.24682	0.054985	0.020271	0.048197	0.063032	0.0042647	0.19858	0.020609	0.11596	0.0041153	0.041857	0.0052082	0.1761	
TCR6	brain	LGG1	0.21494	0.074931	0.025315	0.0099924	0.1297	0.039249	0.14651	0.036925	0.16091	0.0055345	0.091871	0.0010718	0.063047	
TCR22	brain	LGG2	0.26856	0.10326	0.072243	0.02408	0.068409	0.022426	0.12697	0.0075953	0.16624	0.0011938	0.077832	0.0013423	0.059854	
TCR24	brain	LGG3	0.14218	0.10795	0.047733	0.016143	0.17131	0.064082	0.13471	0.048413	0.055614	0.019551	0.061288	0.0046574	0.12636	
TCR28	brain	LGG4	0.12395	0.052354	0.055353	0.011883	0.075598	0.019886	0.37299	0.015048	0.073223	0.0051064	0.062707	0.008063	0.12384	
