name	tissue	sample	TRBJ1-1	TRBJ1-2	TRBJ1-3	TRBJ1-4	TRBJ1-5	TRBJ1-6	TRBJ2-1	TRBJ2-2	TRBJ2-3	TRBJ2-4	TRBJ2-5	TRBJ2-6	TRBJ2-7	
TCR9	blood	blood	0.17394	0.098727	0.022512	0.014918	0.10058	0.010053	0.15422	0.023442	0.16734	0.0059348	0.061924	0.0056334	0.16077	
TCR27	blood	blood+brain	0.099949	0.095373	0.026868	0.0029862	0.14172	0.013004	0.20467	0.014513	0.14389	0.0075136	0.053623	0.031596	0.1643	
TCR15	blood	GBM1	0.17638	0.053688	0.022212	0.026387	0.10007	0.011087	0.15869	0.1439	0.090366	0.005035	0.06416	0.0058477	0.14218	
TCR13	blood	GBM2	0.19466	0.10698	0.092364	0.008064	0.076367	0.0065493	0.057715	0.03666	0.1184	0.041015	0.12946	0.011345	0.12042	
TCR7	blood	LGG1	0.18842	0.069529	0.023101	0.011281	0.1187	0.031408	0.15404	0.05115	0.14634	0.0053976	0.095393	0.004662	0.10059	
TCR23	blood	LGG2	0.15585	0.16078	0.021212	0.019843	0.073964	0.012098	0.15144	0.025381	0.20174	0.0078923	0.11108	0.0013951	0.057324	
TCR25	blood	LGG3	0.17457	0.10555	0.021455	0.023998	0.10071	0.030535	0.12312	0.037056	0.13272	0.012131	0.066979	0.012745	0.15843	
TCR29	blood	LGG4	0.16464	0.094533	0.017963	0.0085563	0.12767	0.028225	0.236	0.013328	0.13596	0.0093855	0.087963	0.0056517	0.070117	
TCR26	brain	blood+brain	0.069845	0.11602	0.013283	0.010431	0.16982	0.013269	0.2367	0.13335	0.062477	0.0047464	0.079665	0.0024727	0.087923	
TCR14	brain	GBM1	0.29866	0.21072	0.0076555	0.0036391	0.05668	0.010357	0.13604	0.025735	0.041393	0.0047284	0.044217	0.0041564	0.15601	
TCR12	brain	GBM2	0.24678	0.054976	0.020285	0.048164	0.063012	0.0042657	0.19853	0.020614	0.11604	0.0041121	0.041867	0.0052297	0.17613	
TCR6	brain	LGG1	0.19745	0.071694	0.026897	0.011636	0.11613	0.039944	0.15397	0.04031	0.16211	0.0064987	0.10012	0.0025016	0.070742	
TCR22	brain	LGG2	0.26501	0.10336	0.071721	0.024223	0.069025	0.02272	0.12839	0.007732	0.16685	0.0011886	0.078074	0.0013822	0.060325	
TCR24	brain	LGG3	0.14302	0.10843	0.047128	0.016368	0.16972	0.063268	0.13381	0.047953	0.057208	0.019179	0.062138	0.0047094	0.12707	
TCR28	brain	LGG4	0.12432	0.052865	0.054667	0.011966	0.076277	0.019856	0.3698	0.01525	0.074008	0.0051205	0.06351	0.0081489	0.1242	
