name	tissue	sample	TRBV1	TRBV10-1	TRBV10-2	TRBV10-3	TRBV11-1	TRBV11-2	TRBV11-3	TRBV12-2	TRBV12-3	TRBV12-4	TRBV12-5	TRBV13	TRBV14	TRBV15	TRBV16	TRBV17	TRBV18	TRBV19	TRBV2	TRBV20-1	TRBV24-1	TRBV25-1	TRBV26	TRBV27	TRBV28	TRBV29-1	TRBV3-1	TRBV3-2	TRBV4-1	TRBV4-2	TRBV4-3	TRBV5-1	TRBV5-2	TRBV5-3	TRBV5-4	TRBV5-5	TRBV5-6	TRBV5-7	TRBV5-8	TRBV6-1	TRBV6-2	TRBV6-3	TRBV6-4	TRBV6-5	TRBV6-6	TRBV6-7	TRBV6-8	TRBV6-9	TRBV7-1	TRBV7-2	TRBV7-3	TRBV7-4	TRBV7-5	TRBV7-6	TRBV7-7	TRBV7-8	TRBV7-9	TRBV9	
TCR9	blood	blood	0	0.001779	0.0039321	0.0098923	0.0011573	0.003624	0.0014155	8.1269e-05	0.0068063	0.0064931	0.00052955	0.00024186	0.0029125	0.040851	0.0005645	0	0.011601	0.01393	0.02652	0.084532	0.0074184	0.017688	3.137e-05	0.11584	0.12146	0.0086809	0.0038083	0.0041202	0.050921	0.0055105	0.011589	0.0065614	0	1.1378e-06	0.0069485	0.00052744	0.00045397	3.2508e-06	0.0003267	0.074856	0.061327	0.060198	0.0021006	0.061941	0.038908	0.0003844	0.012983	0.022295	0.0001536	0.045722	0.0045789	0.00027404	0	0.0029359	0.0024022	0.010029	0.018704	0.0014546	
TCR27	blood	blood+brain	0	0	0.0015573	0.004399	0.00012041	0	0.00012844	0	0.00069838	0.00059402	0	0	0.0022396	0.038764	0	0	0.011335	0.0033554	0.0029781	0.069742	0.0014289	0.012507	0	0.21473	0.20228	0.00075457	0.0013727	0.0011078	0.0025126	9.6328e-05	0.0038852	0.0018945	0	0	0.0013004	0	0.0001766	0	0	0.098993	0.073426	0.074454	0.0024805	0.051937	0.03638	0.00015252	0.01241	0.015188	0.00012844	0.031106	5.6192e-05	4.8164e-05	0	0.0059322	0.00236	0.0038371	0.011014	0.00013647	
TCR15	blood	GBM1	0	0.001142	0.0051787	0.0045944	0.001458	0.0045296	0.0019862	6.6856e-05	0.028235	0.024461	0.0016594	0.00048627	0.0088832	0.027141	0.00044931	0	0.0095576	0.025577	0.043668	0.084653	0.0079605	0.028072	3.1144e-05	0.078444	0.15245	0.013002	0.011191	0.015785	0.016189	0.1245	0.011103	0.00834	0	5.8136e-06	0.0038935	0.00059216	0.00052738	1.2458e-06	0.00052447	0.045459	0.028707	0.028029	0.0055051	0.029086	0.016678	8.3051e-07	0.0064855	0.0092623	0.00017815	0.032235	0.0051484	0.00027698	0	0.0037955	0.0033486	0.0081141	0.029874	0.0014746	
TCR13	blood	GBM2	0	2.6499e-05	0.0017877	0.0040428	0.0013763	0.006911	0.014834	0.00029845	0.0026317	0.0030189	0.0020245	0.00012157	0.0082807	0	0.00020471	0	0.0029613	0.016066	0.051663	0.053793	0.025198	0.010033	1.6562e-06	0.060417	0.035449	0.0068024	0.010286	0.011689	0.0026864	0.0024058	0.0056496	0.0074218	0	2.6499e-06	0.00026466	0.00014409	0.0023399	1.9874e-06	0.0029076	0.11435	0.066101	0.065537	0.021096	0.077387	0.075713	0.00099604	0.021142	0.024056	0.00016363	0.087455	0.0062502	0.00023684	0.00042995	0.0186	0.0059935	0.010182	0.050008	0.00056443	
TCR7	blood	LGG1	0	0.00085183	0.0051351	0.005357	0.0011625	0.0040472	0.0019722	4.4095e-05	0.010229	0.0094503	0.0010122	0.00040337	0.0051756	0.034443	0.00027359	0	0.0091497	0.013653	0.032846	0.08601	0.0090279	0.0329	4.4095e-05	0.19399	0.14211	0.0043899	0.0056782	0.006747	0.029888	0.028716	0.0054883	0.0082192	0	6.514e-06	0.0059092	0.00063186	0.00086186	0	0.00027058	0.073228	0.032609	0.030998	0.0030125	0.037595	0.026201	0.00021747	0.0097264	0.014435	6.7145e-05	0.031371	0.00441	0.00023801	6.2134e-05	0.0060796	0.0030676	0.0067736	0.022083	0.0017382	
TCR23	blood	LGG2	1.8242e-07	0.002464	0.0012784	0.011089	0.0024138	0.0088028	0.0031929	0.00010635	0.010904	0.010183	0.0013638	0.00062979	0.013525	0.029747	0.00020066	0	0.0091748	0.034221	0.022777	0.072824	0.006899	0.0044718	1.0033e-06	0.17673	0.040856	0.0079363	0.01031	0.0095772	0.036007	0.019575	0.0051736	0.004305	0	1.9154e-06	0.0023872	0.0015487	9.2941e-05	1.4593e-06	2.1616e-05	0.094004	0.041164	0.042171	0.0058343	0.063256	0.04795	2.2985e-05	0.014393	0.023367	6.9136e-05	0.029939	0.0037893	0.00013353	0	0.005471	0.0030148	0.0068961	0.052042	0.0056924	
TCR25	blood	LGG3	0	0.0022115	0.005317	0.012196	0.0012885	0.0054259	0.0021173	5.872e-05	0.009619	0.0093737	0.0011569	0.00043379	0.0056801	0.03327	0.00029335	0	0.0069403	0.01931	0.033896	0.0614	0.0069693	0.017434	0.0001135	0.15856	0.13637	0.0094568	0.01047	0.010455	0.047011	0.0084176	0.0047993	0.010782	0	1.9135e-05	0.010795	0.0010088	0.00089476	1.4043e-05	0.00052281	0.093449	0.032118	0.031432	0.0061225	0.051717	0.030709	0.00029853	0.010876	0.015372	8.9599e-05	0.029178	0.002479	0.00049686	1.4454e-05	0.0091494	0.0051262	0.0084231	0.02759	0.0012766	
TCR29	blood	LGG4	0	3.0155e-06	0.0014668	0.0051502	0.0010542	0.0052254	0.002439	0.00015022	0.0038295	0.0038908	0.00018238	0.00021734	0.0073498	0.038888	0.00016005	0	0.018289	0.015352	0.010587	0.082874	0.01203	0.028304	8.4882e-06	0.16413	0.13606	0.0024241	0.0023246	0.0020502	0.0073942	0.0037902	0.0035596	0.0032821	0	0	0.0033714	0.00013201	0.00028849	4.4675e-07	0.00044742	0.064519	0.051204	0.050719	0.0010983	0.034848	0.03039	0.00019221	0.011091	0.016117	0.00010063	0.1263	0.0017783	0.000258	0	0.0058805	0.0037036	0.019495	0.01407	0.001525	
TCR26	brain	blood+brain	0	0.00074073	0.0051019	0.0018523	0.00086554	0.0016289	0.00062315	5.7883e-05	0.0015122	0.0014742	6.6928e-05	0.00043141	0.0058652	0.022029	4.2508e-05	0	0.0034829	0.0030072	0.01738	0.066331	0.0082059	0.030544	3.7082e-05	0.18939	0.24129	0.0039641	0.0028236	0.0030696	0.013377	0.0047935	0.012076	0.0030669	0	0	0.00055713	0.00049924	0.0004495	9.9487e-06	0.00048477	0.042087	0.051809	0.050389	0.00067289	0.067821	0.053072	7.3259e-05	0.01047	0.017532	7.2354e-05	0.029505	0.00064033	8.0494e-05	0	0.0056626	0.003151	0.0043132	0.014247	0.0012689	
TCR14	brain	GBM1	0	0.0026654	0.0038947	0.0011928	0.0009615	0.0095724	0.0036939	1.2171e-05	0.019607	0.018226	0.00050509	9.7367e-05	0.0030123	0.0072782	0.0004199	0	0.01536	0.015354	0.064098	0.051842	0.0029819	0.052779	2.4342e-05	0.22204	0.20725	0.0055804	0.0046676	0.0073878	0.020179	0.010741	0.0060855	0.0061341	0	0	0.0035174	0.0010163	0.00072417	0	0.0048684	0.036458	0.016802	0.01749	0.0012536	0.025881	0.01665	0	0.0066332	0.011124	2.4342e-05	0.040225	0.004698	0.00034687	0	0.0085927	0.0042294	0.010248	0.022717	0.0028541	
