name	tissue	sample	num_reads	entropy_CDR3_total	entropy_CDR3_1000	num_VJ	entropy_VJ_total	num_VJ_1000	entropy_VJ_1000	num_V	entropy_V_total	num_V_1000	entropy_V_1000	num_J	entropy_J_total	num_J_1000	entropy_J_1000
TCR27	blood	blood-healthy1	786	6.7956	6.769	224	6.0101	215	6.0063	43	3.6151	42	3.6119	13	3.1257	13	3.1259
TCR9	blood	blood-healthy2	43426	11.6613	7.9265	637	7.3893	166	6.0606	54	4.4537	32	3.702	13	3.1142	13	2.9585
TCR15	blood	GBM1	21256	10.1548	8.0732	587	7.1018	235	6.1908	54	4.5306	41	4.0427	13	3.2054	13	3.1234
TCR13	blood	GBM2	3963	6.5852	6.3023	327	6.7459	241	6.7284	52	4.5147	51	4.5081	13	3.2968	13	3.2947
TCR7	blood	LGG1	27094	12.8995	8.7773	607	7.332	154	5.8414	52	4.2791	32	3.2675	13	3.2109	13	3.1467
TCR23	blood	LGG2	13936	7.6253	7.065	490	6.7991	300	6.7614	54	4.5194	48	4.502	13	3.0961	13	3.0898
TCR25	blood	LGG3	105097	14.2357	8.4038	675	7.6418	233	6.5543	55	4.4674	42	4.0707	13	3.2902	13	3.1901
TCR29	blood	LGG4	32350	10.0822	8.6107	594	7.0374	197	6.2923	52	4.1496	35	3.6101	13	3.0857	13	2.9876
TCR26	brain	brain-healthy1	3254	6.7812	6.5281	408	6.1169	308	6.0852	53	3.8488	47	3.8325	13	3.0826	13	3.0791
TCR14	brain	GBM1	1393	7.6187	7.1989	384	6.1366	282	5.9094	48	4.076	47	3.9499	13	2.7735	13	2.7328
TCR12	brain	GBM2	3288	8.4101	7.8874	439	6.5225	286	6.3243	52	4.0121	48	3.8823	13	2.9807	13	2.9582
TCR6	brain	LGG1	5106	10.4456	9.2095	527	7.3678	210	6.5236	52	4.3686	38	3.7296	13	3.195	13	3.1486
TCR22	brain	LGG2	6601	7.576	7.1407	387	6.4347	294	6.4018	52	4.1947	50	4.1784	13	3.0594	13	3.0541
TCR24	brain	LGG3	11069	7.6626	7.1731	518	6.7388	290	6.6911	54	4.2192	50	4.2114	13	3.3472	13	3.3467
TCR28	brain	LGG4	7144	7.5648	7.1914	461	6.377	323	6.3274	52	4.199	47	4.1752	13	2.9206	13	2.9118
