name	tissue	sample	TRAV1	TRAV10	TRAV10D	TRAV10N	TRAV11	TRAV11D	TRAV11N	TRAV12-2	TRAV12-4	TRAV12D-1	TRAV12D-2	TRAV12N-1	TRAV12N-2	TRAV12N-3	TRAV13-1	TRAV13-2	TRAV13-4-DV7	TRAV13D-2	TRAV13D-3	TRAV13D-4	TRAV13N-2	TRAV13N-4	TRAV14-1	TRAV14-2	TRAV14-3	TRAV14D-1	TRAV14D-2	TRAV14D-3-DV8	TRAV14N-1	TRAV14N-2	TRAV14N-3	TRAV15-1-DV6-1	TRAV15-2-DV6-2	TRAV15D-1-DV6D-1	TRAV15D-2-DV6D-2	TRAV15N-1	TRAV15N-2	TRAV16D-DV11	TRAV16N	TRAV17	TRAV19	TRAV2	TRAV21/DV12	TRAV3-1	TRAV3-2	TRAV3-3	TRAV3-4	TRAV3D-2	TRAV3D-3	TRAV3N-2	TRAV3N-3	TRAV4-1	TRAV4-2	TRAV4-3	TRAV4-4-DV10	TRAV4D-2	TRAV4D-3	TRAV4D-4	TRAV4N-3	TRAV4N-4	TRAV5-1	TRAV5-2	TRAV5-4	TRAV5D-4	TRAV5N-4	TRAV6-1	TRAV6-2	TRAV6-3	TRAV6-4	TRAV6-5	TRAV6-6	TRAV6-7-DV9	TRAV6D-3	TRAV6D-4	TRAV6D-5	TRAV6D-6	TRAV6D-7	TRAV6N-5	TRAV6N-6	TRAV6N-7	TRAV7-1	TRAV7-2	TRAV7-3	TRAV7-4	TRAV7-5	TRAV7-6	TRAV7D-2	TRAV7D-3	TRAV7D-4	TRAV7D-5	TRAV7N-4	TRAV7N-5	TRAV7N-6	TRAV8-1	TRAV8-2	TRAV8D-1	TRAV8D-2	TRAV8N-2	TRAV9-1	TRAV9-2	TRAV9-4	TRAV9D-1	TRAV9D-2	TRAV9D-3	TRAV9N-1	TRAV9N-2	TRAV9N-3	TRAV9N-4	
TCR10	blood	blood	0.0027562	0.013268	0.010093	0.011296	0.011088	0.0048991	0.013428	0.035925	8.5596e-07	0.0040326	0.0015009	0.0055886	0.0015364	0.0075637	0.0004145	0.00037748	0.0019792	0.0010524	0	0.00036121	0.0010158	5.9917e-06	0.048567	0.033055	0.0079003	0.00074083	0.00040851	0.025125	0.014306	0.00039246	0.05005	0.0015589	9.8863e-05	0.00077379	4.4082e-05	0.00075581	6.3983e-05	0.0067206	0.020198	0.0081695	0.0067651	0.0037656	0.0012814	0.0027018	0	0.021066	2.6535e-05	0	0.0027279	0	0.0038503	0.0041199	0.010692	0	0	0.00029317	0.024192	0.00075003	0.016145	0.0072878	0.020756	8.5596e-07	0.011092	0.0069996	0.017478	0.011339	0.015296	0.0020008	0.023973	0.015956	0.00080717	0.012355	0.00040401	0.048973	0.014368	0.00057199	0.0040057	0.00074276	0.00040187	0.0036299	0.0030089	0.0044054	0.0071002	0.0063243	0.0065697	0.0004466	0.0035839	0.0067691	0.0077995	0.010127	0.00022169	0.0085425	0.00011341	0.0056859	7.0189e-05	0.0071344	0.002511	0.00083841	0.062787	5.4139e-05	0.10992	0.056926	0.00083991	0.0029329	0.0088782	0.0015568	0.002524	0.0084019	
TCR16	blood	Day21-1	0.0026051	0.0096482	0.0079342	0.010094	0.0028896	0.0013061	0.0027126	0.041017	0	0.0075304	0.0054726	0.010774	0.0058739	0.0052036	0.001822	0.0017138	0.0075314	0.0033543	0	0.0018181	0.0059214	2.9014e-05	0.051443	0.036338	0.010799	0.00020654	0.00036637	0.029343	0.013429	0.00035924	0.056038	0.0013403	0.00022548	0.00042538	0.00016671	0.00038899	0.00015614	0.012118	0.028559	0.0034844	0.0050687	0.0039538	0.0032213	0.0042164	0	0.032002	9.8354e-07	0	0.004016	0	0.0044094	0.0027598	0.0083888	7.3765e-07	0	0.00051955	0.012225	7.106e-05	0.0076716	0.0057987	0.016028	7.3765e-07	0.010957	0.0061368	0.016752	0.0096541	0.012921	0.0032088	0.023066	0.029398	0.0023098	0.007586	0.00064151	0.020507	0.013266	0.0017952	0.0052781	0.0017932	0.00056848	0.0044571	0.0040013	0.012951	0.019677	0.019225	0.0018545	0.00083355	0.0096409	0.0097181	0.022416	0.0097031	0.00054094	0.011143	2.9014e-05	0.0051513	4.303e-05	0.0070367	0.004227	0.0014704	0.048826	9.0977e-06	0.096371	0.041036	0.00073618	8.3846e-05	0.0020037	0.0017699	0.00034916	0.008065	
TCR30	blood	Day21-2	0.002282	0.011445	0.0092614	0.011662	0.0020998	0.0012093	0.0022197	0.033861	0	0.0057048	0.004755	0.0077699	0.0047807	0.004264	0.0015357	0.0013269	0.0057938	0.0028068	0	0.0011549	0.003811	2.8288e-05	0.048764	0.029167	0.012616	0.00033681	0.00042575	0.024346	0.01273	0.00044121	0.053783	0.0010536	0.00024035	0.00039318	0.00017197	0.00040499	0.00018194	0.0078503	0.018211	0.0016596	0.0037483	0.0030824	0.0027045	0.0025616	6.1053e-07	0.020672	3.2562e-06	0	0.0025604	0	0.0028695	0.0045348	0.012667	5.0878e-06	0	0.0010308	0.019074	0.00017441	0.012609	0.0089749	0.012547	1.2211e-06	0.01099	0.0073421	0.014711	0.011062	0.014017	0.0028412	0.023859	0.036534	0.0026058	0.0065303	0.00051936	0.022128	0.014406	0.0023241	0.0055148	0.0024859	0.00095854	0.0044931	0.0073795	0.012523	0.018637	0.019678	0.0020811	0.00082585	0.0096745	0.010108	0.022929	0.0096212	0.00064289	0.010627	4.8639e-05	0.0057586	4.172e-05	0.0069269	0.0046409	0.0019238	0.060688	4.925e-05	0.10379	0.051311	0.0010868	0.00053646	0.0024185	0.0019024	0.00058428	0.0098717	
TCR18	blood	Day28	0.0015141	0.0079399	0.00641	0.0084232	0.0036171	0.0015248	0.0035405	0.047143	0	0.0076712	0.0043108	0.011418	0.0048601	0.0053924	0.0013202	0.0014507	0.0072286	0.0024024	0	0.0014426	0.0049203	5.022e-06	0.048937	0.03392	0.0089191	0.00010735	0.00027747	0.026022	0.013798	0.00027747	0.054264	0.0013685	0.00021406	0.00031953	0.00013246	0.00023604	0.0001199	0.012536	0.029368	0.0035945	0.0051614	0.0043026	0.0029184	0.0041922	0	0.038683	8.1608e-06	0	0.0039888	0	0.0043453	0.0024765	0.0072801	0	0	0.00028312	0.012145	2.3227e-05	0.0071288	0.0050246	0.013698	0	0.010924	0.0057358	0.017425	0.0095356	0.010961	0.0030132	0.02213	0.030988	0.0018889	0.0060271	0.00053736	0.019468	0.011558	0.0013855	0.0046617	0.001489	0.00044696	0.0038004	0.0035361	0.012758	0.018732	0.018381	0.001044	0.00047835	0.0093849	0.0085789	0.021758	0.0088363	0.00080353	0.010676	1.5694e-05	0.004823	5.4615e-05	0.0064803	0.0050214	0.0013534	0.056026	2.511e-06	0.11241	0.047441	0.0006717	5.9009e-05	0.0012461	0.0014131	0.00024671	0.0071822	
TCR20	blood	Day42-1	0.0018652	0.0088412	0.0067876	0.0099323	0.0013227	0.00050412	0.00065535	0.045698	0	0.011458	0.0035252	0.011951	0.003476	0.0051636	0.0048971	0.00098423	0.011999	0.0057001	0	0.0008846	0.0087752	2.1605e-05	0.050144	0.035562	0.013915	0.00022805	0.00018604	0.028437	0.0077226	0.00015844	0.052963	0	0.00090501	0	0.00051492	0	0.00051372	0.014801	0.029085	0.00071176	0.010654	0.0081667	0.004339	0.0037533	0	0.057987	5.6413e-05	0	0.0042286	0	0.0046439	0.002775	0.0095674	0	0	9.6022e-06	0.016642	0.0004453	0.0099407	0.0066543	0.012687	0	0.0097559	0.006988	0.017307	0.0056569	0.0177	0.0023405	0.010538	0.021669	0.0018592	0.0072581	0.0061706	0.010237	0.017554	0.0014667	0.0038901	0.0018688	0.00049691	0.0036044	0.0026322	0.015977	0.013771	0.010122	0.0040497	0.0011919	0.012853	0.0087488	0.014543	0.010909	0.0013623	0.010321	6.4815e-05	0.0067204	0.0004201	0.008882	0.011569	0.00036248	0.046263	5.6413e-05	0.08262	0.040938	0.0013587	0.00062294	0.0012795	0.0015147	0.00062294	0.011023	
TCR32	blood	Day42-2	0.0029235	0.011215	0.0092195	0.011975	0.0058578	0.0022548	0.006663	0.036979	1.2989e-06	0.0068903	0.0046502	0.0096249	0.0048463	0.0048116	0.0014922	0.0013649	0.0066156	0.0027903	0	0.0014772	0.0047247	3.566e-05	0.045821	0.028591	0.011291	0.00028752	0.00042296	0.023089	0.011506	0.00042343	0.05113	0.00084002	0.00021254	0.00027123	0.0001561	0.00027182	0.00015669	0.011568	0.026881	0.0016626	0.0038512	0.0050586	0.0032361	0.003413	1.8893e-06	0.025701	3.4243e-06	0	0.0033797	0	0.0036999	0.0036563	0.010179	2.5977e-06	4.7232e-07	0.00083943	0.014884	0.00012965	0.0096735	0.0076182	0.012135	4.7232e-07	0.0097747	0.0059119	0.014085	0.011246	0.01334	0.0026512	0.023548	0.035898	0.0027699	0.0063818	0.00060386	0.021838	0.014275	0.0023763	0.0055895	0.0025405	0.00072442	0.0043802	0.0072774	0.012905	0.02005	0.021712	0.0019086	0.00094216	0.0093224	0.010947	0.02504	0.010096	0.0010026	0.011246	5.6206e-05	0.0054017	5.5379e-05	0.0068725	0.0045627	0.0019156	0.054871	2.4561e-05	0.097568	0.046332	0.00077838	0.00033098	0.001938	0.001668	0.00040466	0.0083779	
TCR38	blood	Endstage	0.0017572	0.011113	0.0088475	0.010144	0.0039595	0.00073584	0.002768	0.019768	0	0.0044031	0.0043203	0.0070591	0.0031677	0.0055451	0.0037501	4.0746e-05	0.0091881	0.0035724	0	0.00086889	0.005106	0.00011017	0.034725	0.014958	0.0059646	3.8718e-05	0.00014483	0.012574	0.0024783	0.00014309	0.037359	0.00050855	0	0.00011712	0	0.00013064	0	0.014028	0.011473	0.0017441	0.010103	0.0068865	0.0044098	0.0098567	0	0.054135	0	0	0.0084738	0	0.0092798	0.0090076	0.019055	0	0	0.0023092	0.025928	0.00021676	0.016837	0.011685	0.0054385	1.0331e-05	0.015056	0.0083412	0.019978	0.0057612	0.01754	0.0046346	0.017391	0.029913	0.0037749	0.0041224	0.00094478	0.020713	0.019846	0.0031681	0.0053548	0.0031625	0.0011086	0.0040042	0.0073234	0.0074339	0.013402	0.015313	0.0017037	0.00050536	0.0053385	0.0081441	0.018611	0.014906	1.68e-05	0.011443	2.2014e-05	0.0047301	1.9987e-05	0.0092882	0.00918	0.0073808	0.063532	0	0.10645	0.057982	0.00091562	0.0002044	0.0017271	0.0023028	9.2305e-05	0.01098	
TCR17	brain	Day21-1	0.025838	0	0	0	0.0061047	0.0014768	0.02925	0.004657	0	0.00017442	0.001407	0.00070931	0.00098838	0.0043663	0.00018023	0.0048373	0.0058373	8.1396e-05	0	1.7442e-05	8.1396e-05	0.00014535	0.080792	0.016826	0.012733	0.0072385	0.00014535	0.014355	0.0029884	0.00013372	0.026274	0	0	0	0	0	0	0.0031454	0.014925	0.017169	0	0	0	0	0	0.018494	0	0	0	0	0	0.0046745	0.067565	0	0	0.00016861	0.08221	0.0010175	0.026588	0.012855	0.04496	0	8.1396e-05	0.00011047	0	0.027372	0.019791	0	0.0018314	0.02093	0.001	0.019663	0	0.0033779	0.026989	0.00086048	0.0036221	0.0009535	0.00034303	0.0074943	0.0011221	0.0054129	0.0081047	0.013052	0.017326	0.0027791	0.014372	0.0079303	0.0079594	0.027099	1.1628e-05	0.017925	0	0	0	0	0	0	0.06085	2.907e-05	0.035279	0.067053	0.00096513	0.013861	0.0057733	0.0031221	0.0016686	0.012477	
TCR31	brain	Day21-2	0.0016226	0.0088998	0.0077139	0.0083738	0.018847	0.0067159	0.024368	0.049005	0	0.0039004	0.0010426	0.002832	0.0009299	0.0060162	0	0.00012915	0.0016508	0.00025596	0	0	0.00048139	0	0.022078	0.015296	0.0023576	0.00047434	0.00028648	0.014907	0.010994	0.000263	0.027183	0.0027146	5.1661e-05	0.0011577	0	0.00070212	4.9313e-05	0.0040601	0.006197	0.011072	0	0.0017189	0.0026277	0.0026089	0	0.012251	0	0	0.0025525	0	0.0027498	0.013019	0.023654	0	0	0.00070212	0.045192	0.00032171	0.039053	0.019103	0.0093835	0	0.0052295	0.0035646	0.0079089	0.030027	0.016135	0.0041634	0.011429	0.040946	0.0022426	0.028115	7.2795e-05	0.022578	0.019403	0.00205	0.015696	0.0023294	0.00074909	0.015003	0.0063121	0.0044217	0.0038535	0.0086086	0.00092755	0.00011506	0.0030316	0.0055465	0.010797	0.0026746	0	0.003938	0	0.0040202	0	0.0049407	0.00054714	0.00017142	0.066741	0	0.15684	0.041998	0.00027005	0.00041564	0.0029517	0.00026535	0.00087824	0.0045274	
TCR19	brain	Day28	0.0012146	0.006596	0.0037097	0.0067236	0.0033927	0.0012064	0.0058919	0.048955	0	0.0019434	0.0013423	0.0037962	0.0021328	0.0058713	0	0	0.0004282	0.00029233	0	0.00044056	0.00053525	0	0.06064	0.017202	0.0010746	0.0076747	0	0.018413	0.014835	0	0.035063	0.0019557	0	0.00024704	0	0.00048996	0	0.011323	0.031049	0.0093423	0.0059249	0.017696	0.0034421	0.0034421	0	0.017441	0	0	0.0009017	0	0.00089758	0.0033145	0.025762	0	0	0	0.040708	0	0.024951	0.0059578	0.011883	0	0.015341	0.039914	0.020661	0.0099022	0.014402	0.0046979	0.018573	0.021917	0	0.0097293	0	0.037546	0.018067	0	0.00064231	0	0	0.0014658	0.0042738	0.0034833	0.0069171	0.0036768	0.0041585	0	0.0040515	0.0098734	0.0071477	0.0036891	0.00027586	0.005192	0	0.01397	0.00056819	0.011673	0.0064766	0.0015769	0.096737	0	0.090075	0.041964	0	0	0.00031704	0.00032115	0	0.0046197	
