name	tissue	sample	TRAJ11	TRAJ12	TRAJ13	TRAJ15	TRAJ16	TRAJ17	TRAJ18	TRAJ2	TRAJ21	TRAJ22	TRAJ23	TRAJ24	TRAJ25	TRAJ26	TRAJ27	TRAJ28	TRAJ30	TRAJ31	TRAJ32	TRAJ33	TRAJ34	TRAJ35	TRAJ37	TRAJ38	TRAJ39	TRAJ4	TRAJ40	TRAJ41	TRAJ42	TRAJ43	TRAJ44	TRAJ45	TRAJ47	TRAJ48	TRAJ49	TRAJ5	TRAJ50	TRAJ52	TRAJ53	TRAJ56	TRAJ57	TRAJ58	TRAJ6	TRAJ7	TRAJ9	
TCR10	blood	blood	0.015887	0.027039	0.019865	0.051005	0.004854	0.015012	0.036795	0.018582	0.0317	0.027238	0.0014393	0.0046445	0	0.046235	0.037648	0.0059175	0.050521	0.050077	0.019085	0.012264	0.0382	0.014002	0.018401	0.0095918	0.027559	0.022388	0.058276	0	0.030609	0.040206	9.0895e-06	0.029537	0.013445	0.023764	0.048978	6.1302e-06	0.012317	0.01595	0.021585	0.013411	0.012047	0.010154	0.025542	0.004032	0.034183	
TCR16	blood	Day21-1	0.013765	0.034998	0.018264	0.048936	0.0046855	0.012039	0.021402	0.015034	0.030224	0.028291	0.0014444	0.0040288	0	0.039083	0.047943	0.0040732	0.044348	0.053791	0.020392	0.011886	0.034387	0.014411	0.018602	0.009555	0.027105	0.027379	0.052724	2.1852e-05	0.029585	0.036103	1.9931e-05	0.039516	0.0097918	0.023239	0.045115	9.6055e-07	0.017255	0.022281	0.02321	0.015941	0.014338	0.011517	0.024559	0.0037358	0.044979	
TCR30	blood	Day21-2	0.013183	0.045648	0.025473	0.053132	0.0062586	0.017384	0.01982	0.010518	0.027429	0.034233	0.0012599	0.0065388	0	0.039858	0.047915	0.0046169	0.040531	0.069344	0.022749	0.012515	0.031277	0.012203	0.021785	0.0088823	0.031839	0.027542	0.043583	2.9696e-06	0.021522	0.029992	1.0492e-05	0.036132	0.012767	0.02121	0.031357	6.0777e-05	0.016518	0.02376	0.018609	0.014961	0.015115	0.0095459	0.024873	0.0019245	0.046122	
TCR18	blood	Day28	0.01193	0.030119	0.017858	0.048809	0.0043842	0.010199	0.022251	0.0088228	0.027304	0.027748	0.0014491	0.0039115	0	0.035084	0.047565	0.0040997	0.043627	0.052752	0.021726	0.012593	0.037092	0.016816	0.015678	0.008339	0.028249	0.022204	0.056549	0	0.029496	0.03809	1.5193e-05	0.043586	0.0099103	0.02359	0.054568	1.1687e-06	0.018838	0.026116	0.02594	0.017385	0.017435	0.014366	0.019649	0.0027791	0.041074	
TCR20	blood	Day42-1	0.0041993	0.059892	0.018219	0.036733	0.0075738	0.016102	0.013417	0.0066846	0.022237	0.038135	2.3401e-06	0.0062446	0	0.041458	0.057514	3.5102e-06	0.038494	0.10498	0.0098145	0.012239	0.03178	0.018806	0.024221	0.0060609	0.029744	0.0038401	0.057304	0	0.043534	0.03683	2.2231e-05	0.021795	0.016689	0.020249	0.043853	3.5102e-06	0.0062001	0.017882	0.037491	0.017846	0.014875	0.0078839	0.012032	0	0.037115	
TCR32	blood	Day42-2	0.014257	0.044072	0.027169	0.050267	0.0072454	0.019966	0.033725	0.010638	0.025014	0.040197	0.0011073	0.007526	0	0.044467	0.042775	0.0039707	0.04323	0.058638	0.025277	0.016965	0.029136	0.012619	0.02117	0.0090094	0.029439	0.02636	0.043109	2.8796e-06	0.021615	0.022515	2.0503e-05	0.038042	0.013712	0.022867	0.031845	3.4786e-05	0.017118	0.023462	0.018191	0.016206	0.011881	0.0088814	0.025405	0.0016546	0.039197	
TCR38	blood	Endstage	0.017899	0.04751	0.02059	0.043293	0.0042854	0.014574	0.016407	0.019235	0.022973	0.027457	0	0.017147	0	0.032956	0.05466	0.0081365	0.039563	0.046091	0.018526	0.0053807	0.052011	0.017781	0.014305	0.015939	0.026455	0.021216	0.049554	0	0.037039	0.046265	2.5513e-05	0.043251	0.013121	0.017057	0.030669	8.8179e-05	0.020265	0.012822	0.010175	0.010632	0.018605	0.0045539	0.037379	0.0019237	0.042184	
TCR17	brain	Day21-1	0	0	0.053109	0.087725	0	0.024558	0.036897	0.0050412	0.035682	0.041203	0	0	0	0.029819	0.022497	0	0.056153	0.16379	0.0055447	0.021994	0	0	0.012982	0.0020662	0.055858	0	0.16774	0	0.015286	0.03835	0	0	0	0.026491	0.030357	0	0	0.016675	0.0094688	0	0	0	0	0	0.040717	
TCR31	brain	Day21-2	0.003905	0.021412	0.0074997	0.027821	0.0034638	0.030404	0.052589	0.004705	0.012122	0.020823	0.0012939	0.0013087	0	0.019964	0.013868	0.0023156	0.051322	0.04899	0.018123	0.0062438	0.010657	0.011759	0.012245	0.011878	0.011407	0.015519	0.059525	0	0.024154	0.040101	4.2216e-06	0.039707	0.0095092	0.026045	0.097773	9.0765e-05	0.13178	0.0056549	0.057743	0.014537	0.017997	0.013114	0.022446	6.1214e-05	0.018121	
TCR19	brain	Day28	0.0092236	0.020948	0.01852	0.033853	0.0063899	0.01279	0.035212	0.022155	0.051538	0.053039	0.0042159	0.0020387	0	0.03954	0.042908	0.0024444	0.025533	0.035588	0.027404	0.010817	0.044442	0.013255	0.026562	0.010471	0.018319	0.031217	0.071763	0	0.046877	0.030834	0	0.044155	0.0029261	0.02167	0.021697	0	0.0188	0.018883	0.04786	0.016646	0.012572	0.0089795	0.018282	0.0013888	0.018246	
