name	tissue	sample	total_reads	entropy_CDR3_total	entropy_CDR3_1000	entropy_VJ_total	entropy_VJ_1000	entropy_V_total	entropy_V_1000	entropy_J_total	entropy_J_1000
TCR10	blood	blood	57828	13.0275	9.5888	10.3116	10.3043	5.4792	5.4738	5.0849	5.0844
TCR16	blood	Day21-1	80152	14.7556	9.7415	10.5831	10.5557	5.6136	5.5929	5.0853	5.0822
TCR30	blood	Day21-2	117130	14.6659	9.7153	10.5444	10.5149	5.5888	5.5656	5.078	5.0743
TCR18	blood	Day28	60709	14.5572	9.7058	10.4871	10.3777	5.5559	5.4747	5.0663	5.051
TCR20	blood	Day42-1	5476	8.386	8.1807	8.9086	8.8837	5.6222	5.6155	4.8692	4.8677
TCR32	blood	Day42-2	167997	15.0269	9.5774	10.5992	10.5718	5.6447	5.6239	5.1024	5.0993
TCR38	blood	Endstage	28473	9.1017	8.7402	9.3841	9.3584	5.6075	5.6004	5.0617	5.0601
TCR17	brain	Day21-1	1268	5.996	5.9591	6.4792	6.4752	5.1467	5.1446	4.0162	4.0147
TCR31	brain	Day21-2	6945	8.5337	7.8808	8.5163	8.3281	5.3054	5.237	4.7165	4.6825
TCR19	brain	Day28	3097	10.0599	9.5883	9.6896	9.142	5.5601	5.2761	5.0245	4.9755
TCR21	brain	Day42-1	3289	2.1794	1.9365	3.6169	3.4854	2.9746	2.9146	1.1801	1.1016
TCR33	brain	Day42-2	4667	7.8703	7.5724	8.6104	8.5832	5.4897	5.4862	4.961	4.9594
TCR39	brain	Endstage	1226	7.7409	7.703	8.4161	8.398	5.2408	5.2321	4.8024	4.7986
