name	tissue	sample	TRBJ1-1	TRBJ1-2	TRBJ1-3	TRBJ1-4	TRBJ1-5	TRBJ1-6	TRBJ2-1	TRBJ2-2	TRBJ2-3	TRBJ2-4	TRBJ2-5	TRBJ2-7	
TCR11	blood	blood	0.25017	0.045038	0.053899	0.043067	0.010252	0.01692	0.16294	0.023165	0.10542	0.050426	0.094235	0.14448	
TCR17	blood	Day21-1	0.50256	0.052743	0.023427	0.016534	0.0014117	0.0040699	0.13766	0.014919	0.090047	0.0098949	0.037112	0.10962	
TCR31	blood	Day21-2	0.19345	0.055246	0.059923	0.046178	0.010097	0.017468	0.14125	0.016983	0.11328	0.10604	0.059045	0.18104	
TCR19	blood	Day28	0.40504	0.057842	0.04259	0.043165	0.0066187	0.007482	0.13281	0.033094	0.11237	0.010216	0.05295	0.095827	
TCR21	blood	Day42-1	
TCR33	blood	Day42-2	0.14436	0.039471	0.06107	0.049199	0.0033382	0.0085622	0.17419	0.043738	0.12319	0.08784	0.099922	0.16512	
TCR39	blood	Endstage	0.096754	0.033214	0.073641	0.095399	0.0081154	0.075529	0.16601	0.027111	0.049292	0.045842	0.10094	0.22816	
TCR16	brain	Day21-1	
TCR30	brain	Day21-2	0.10041	0.044165	0.041686	0.13957	0.010611	0.019934	0.12091	0.026095	0.057951	0.048804	0.18362	0.20625	
TCR18	brain	Day28	
TCR20	brain	Day42-1	0.10399	0.047004	0.06916	0.025528	0.017163	0.012091	0.12931	0.035057	0.051488	0.084819	0.31336	0.11103	
TCR32	brain	Day42-2	0.12755	0.035298	0.11661	0.067492	0.020593	0.031028	0.07953	0.053438	0.085925	0.049218	0.16886	0.16446	
TCR38	brain	Endstage	
