name	tissue	sample	TRBJ1-1	TRBJ1-2	TRBJ1-3	TRBJ1-4	TRBJ1-5	TRBJ1-6	TRBJ2-1	TRBJ2-2	TRBJ2-3	TRBJ2-4	TRBJ2-5	TRBJ2-7	
TCR11	blood	blood	0.18173	0.053158	0.062052	0.058343	0.016791	0.023053	0.13572	0.037934	0.10629	0.082807	0.093384	0.14874	
TCR17	blood	Day21-1	0.25901	0.072713	0.053631	0.05948	0.013518	0.018912	0.11775	0.043745	0.095205	0.041049	0.075743	0.14925	
TCR31	blood	Day21-2	0.14793	0.054177	0.066121	0.062633	0.020116	0.025165	0.11408	0.03348	0.10027	0.10205	0.095184	0.17879	
TCR19	blood	Day28	0.30959	0.068912	0.050784	0.058691	0.010478	0.012728	0.12362	0.056184	0.10253	0.022692	0.072641	0.11115	
TCR21	blood	Day42-1	0.17234	0.10088	0.046238	0.076923	0.010509	0.025641	0.1694	0.010088	0.10383	0.051702	0.10256	0.12989	
TCR33	blood	Day42-2	0.12076	0.046561	0.058784	0.066289	0.016522	0.023678	0.13419	0.046331	0.10795	0.089273	0.11363	0.17603	
TCR39	blood	Endstage	0.097094	0.033124	0.073754	0.095118	0.0081839	0.075448	0.16597	0.027373	0.049603	0.045959	0.10105	0.22732	
TCR16	brain	Day21-1	0.23593	0.052632	0.038113	0.0096794	0.015124	0.0018149	0.053842	0.0012099	0.15971	0.1337	0.08288	0.21537	
TCR30	brain	Day21-2	0.10212	0.045568	0.042568	0.13522	0.011162	0.019583	0.12114	0.028124	0.060787	0.050837	0.1786	0.20429	
TCR18	brain	Day28	0.16208	0.14963	0.042338	0.053701	0.0024459	0.021537	0.081515	0.017835	0.079134	0.045952	0.10556	0.23827	
TCR20	brain	Day42-1	0.10413	0.048237	0.0699	0.028257	0.017274	0.012751	0.1283	0.036705	0.052431	0.087381	0.3026	0.11203	
TCR32	brain	Day42-2	0.12708	0.035699	0.11534	0.067521	0.020721	0.030982	0.079815	0.053808	0.085979	0.049405	0.16949	0.16416	
TCR38	brain	Endstage	0.10812	0.047436	0.053419	0.063248	0.0068376	0.026923	0.15983	0.025641	0.10769	0.083761	0.14573	0.17137	
