name	tissue	sample	TRBV1	TRBV12-1	TRBV12-2	TRBV12-3	TRBV13-1	TRBV13-2	TRBV13-3	TRBV14	TRBV15	TRBV16	TRBV17	TRBV19	TRBV2	TRBV20	TRBV21	TRBV23	TRBV24	TRBV29	TRBV3	TRBV30	TRBV4	TRBV5	TRBV8	
TCR11	blood	blood	0.058234	0.020155	0.14477	0	0.015198	0.024395	0.0047378	0.056944	0.070597	0.15085	0.019898	0.18315	0.05079	0.011414	1.6978e-06	0.004728	0.0001719	0.013827	0.051039	9.0833e-05	0.015834	0.10317	0	
TCR17	blood	Day21-1	0.15561	0.0080377	0.084575	0	0.0085879	0.03532	0.002842	0.11137	0.025554	0.23653	0.010145	0.18514	0.046612	0.0074643	0	0.0067436	8.7177e-05	0.013332	0.018017	0.00095701	0.012778	0.030285	0	
TCR31	blood	Day21-2	0.11224	0.0018843	0.012132	0	0.031024	0.052169	0.009247	0.085238	0.0079468	0.045132	0.026128	0.3172	0.050815	0.031316	0	0.0017991	0.00018459	0.010271	0.019678	0.00081619	0.051647	0.13313	0	
TCR19	blood	Day28	0.29365	0.0032785	0.076819	0	0.00083569	0.0037285	0.00025714	0.13673	0.010285	0.27083	0.0042427	0.1323	0.018578	0.00032142	0	0.0050784	0.00012857	0.0057213	0.021921	0.0003857	0.0053998	0.009514	0	
TCR21	blood	Day42-1	0.14922	0	0.18285	0	0.0021017	0.019756	0	0.056747	0.013031	0.32156	0.01261	0.11475	0.070198	0.00084069	0	0.0084069	0	0.0033628	0.029844	0.001261	0.00084069	0.01261	0	
TCR33	blood	Day42-2	0.10304	0.001474	0.0054325	0	0.037809	0.068352	0.013828	0.10238	0.0056152	0.037236	0.026239	0.32311	0.044752	0.032649	0	9.6642e-05	0.00011275	0.018655	0.011065	0.00083756	0.039988	0.12733	0	
TCR39	blood	Endstage	0.14099	0.00036771	0.049643	0	0.0059352	0.019604	0.00086506	0.067411	0.0046836	0.3273	0.016874	0.26201	0.030996	0.0061662	0	0	0	0.0047755	0.0068922	0.00077077	0.027314	0.027401	0	
TCR16	brain	Day21-1	0.17181	0.047187	0	0	0.019964	0.053842	0.011494	0.043557	0	0.46158	0	0.075015	0.020569	0.032668	0	0	0	0.032063	0.0066546	0	0.013309	0.010284	0	
TCR30	brain	Day21-2	0.15156	0.0018956	0.017004	0	0.015798	0.027539	0.0042312	0.10129	0.0075129	0.056265	0.028865	0.31371	0.068654	0.03783	0	0.0010222	0	0.0064306	0.0049179	7.9117e-05	0.011646	0.14375	0	
TCR18	brain	Day28	0.10805	0.0028571	0.022035	0	0.020584	0.023463	0.01671	0.08974	0.011277	0.099156	0.029762	0.39165	0.044199	0.027641	0	0	0	0.026126	0.0096753	0.00017316	0.010519	0.066385	0	
TCR20	brain	Day42-1	0.052467	0.0015726	0.0060464	0	0.090367	0.21075	0.0046201	0.023857	0.0035474	0.084211	0.024612	0.23593	0.035255	0.030805	0	0.00028038	4.8761e-05	0.014848	0.0059977	0.00054857	0.027002	0.14724	0	
TCR32	brain	Day42-2	0.084466	0.0084001	0.020173	0	0.033562	0.05119	0.0075697	0.087884	0.005654	0.0981	0.01353	0.26778	0.057536	0.020611	0	0.00042724	0	0.016731	0.026306	0.00027219	0.0214	0.1784	0	
TCR38	brain	Endstage	0.094017	0.0008547	0.016239	0	0.02094	0.025641	0.0051282	0.099145	0.014103	0.11709	0.021795	0.42051	0.038462	0.021368	0	0.0008547	0	0.0064103	0.0042735	0	0.023932	0.069231	0	
